time,acc_x,acc_y,acc_z
14:28:07.742,0.58789,-0.69116,0.37866;
14:28:07.762,0.59009,-0.69800,0.37280;
14:28:07.782,0.59131,-0.70215,0.37012;
14:28:07.802,0.59082,-0.70361,0.36914;
14:28:07.822,0.59131,-0.70068,0.36865;
14:28:07.842,0.59180,-0.69678,0.37036;
14:28:07.862,0.59229,-0.70215,0.37109;
14:28:07.882,0.59180,-0.70532,0.37598;
14:28:07.902,0.59326,-0.69922,0.37451;
14:28:07.922,0.59302,-0.69458,0.36890;
14:28:07.942,0.59277,-0.69482,0.36792;
14:28:07.962,0.59253,-0.69727,0.36890;
14:28:07.982,0.59033,-0.70020,0.37036;
14:28:08.002,0.58911,-0.70239,0.36841;
14:28:08.022,0.59033,-0.70386,0.36572;
14:28:08.042,0.59155,-0.70581,0.36621;
14:28:08.062,0.58984,-0.70337,0.36475;
14:28:08.082,0.58911,-0.70142,0.36523;
14:28:08.102,0.58740,-0.70117,0.36694;
14:28:08.122,0.59106,-0.70166,0.36572;
14:28:08.142,0.59033,-0.70068,0.37158;
14:28:08.162,0.59253,-0.69775,0.36987;
14:28:08.182,0.59448,-0.69995,0.36670;
14:28:08.202,0.59326,-0.70630,0.36353;
14:28:08.222,0.59399,-0.70752,0.36865;
14:28:08.242,0.59351,-0.70313,0.36963;
14:28:08.262,0.59082,-0.69800,0.37305;
14:28:08.282,0.59229,-0.69531,0.37305;
14:28:08.302,0.59204,-0.69531,0.36987;
14:28:08.322,0.59033,-0.69849,0.36914;
14:28:08.342,0.59009,-0.70190,0.37183;
14:28:08.362,0.58911,-0.70239,0.37158;
14:28:08.382,0.59131,-0.70386,0.36816;
14:28:08.402,0.59131,-0.70093,0.37012;
14:28:08.422,0.59033,-0.69897,0.37183;
14:28:08.442,0.59033,-0.69971,0.37402;
14:28:08.462,0.58911,-0.69946,0.37671;
14:28:08.482,0.58911,-0.69580,0.37817;
14:28:08.502,0.58936,-0.69263,0.38062;
14:28:08.522,0.58936,-0.69458,0.38037;
14:28:08.542,0.59106,-0.69751,0.37378;
14:28:08.562,0.59204,-0.69995,0.37183;
14:28:08.582,0.59180,-0.69971,0.37280;
14:28:08.602,0.59180,-0.69751,0.37329;
14:28:08.622,0.59253,-0.69995,0.37305;
14:28:08.642,0.59009,-0.70044,0.37305;
14:28:08.662,0.58813,-0.69971,0.37378;
14:28:08.682,0.59180,-0.69385,0.37622;
14:28:08.702,0.59180,-0.69556,0.37451;
14:28:08.722,0.58960,-0.70117,0.37573;
14:28:08.742,0.58936,-0.70239,0.37549;
14:28:08.762,0.58740,-0.69727,0.37183;
14:28:08.782,0.58838,-0.69409,0.37158;
14:28:08.802,0.58936,-0.69800,0.37500;
14:28:08.822,0.58789,-0.69995,0.37598;
14:28:08.842,0.58911,-0.69946,0.37500;
14:28:08.862,0.59180,-0.69824,0.37305;
14:28:08.882,0.59253,-0.69873,0.37500;
14:28:08.902,0.59229,-0.69873,0.37988;
14:28:08.922,0.59082,-0.69458,0.38110;
14:28:08.942,0.58960,-0.69067,0.37866;
14:28:08.962,0.58887,-0.69189,0.37842;
14:28:08.982,0.58765,-0.69604,0.37964;
14:28:09.002,0.58838,-0.69873,0.37695;
14:28:09.022,0.58960,-0.69604,0.37402;
14:28:09.042,0.58960,-0.69556,0.37183;
14:28:09.062,0.58838,-0.69751,0.37695;
14:28:09.082,0.58667,-0.69995,0.38354;
14:28:09.102,0.58887,-0.69629,0.38135;
14:28:09.122,0.59082,-0.69263,0.37891;
14:28:09.142,0.58911,-0.69360,0.38208;
14:28:09.162,0.58643,-0.70020,0.38062;
14:28:09.182,0.58618,-0.70142,0.37939;
14:28:09.202,0.58765,-0.69629,0.37793;
14:28:09.222,0.58740,-0.69019,0.38013;
14:28:09.242,0.58887,-0.68750,0.38232;
14:28:09.262,0.59009,-0.69409,0.38599;
14:28:09.282,0.59009,-0.69849,0.38428;
14:28:09.302,0.59302,-0.69653,0.37866;
14:28:09.322,0.59399,-0.69629,0.37671;
14:28:09.342,0.59204,-0.69824,0.37671;
14:28:09.362,0.58911,-0.69897,0.37988;
14:28:09.382,0.58667,-0.69653,0.38086;
14:28:09.402,0.58691,-0.69604,0.37793;
14:28:09.422,0.58765,-0.69458,0.37891;
14:28:09.442,0.58911,-0.69214,0.37842;
14:28:09.462,0.58691,-0.69727,0.37549;
14:28:09.482,0.58740,-0.70044,0.37915;
14:28:09.502,0.58960,-0.70044,0.37695;
14:28:09.522,0.58960,-0.69995,0.37573;
14:28:09.542,0.59131,-0.69873,0.37646;
14:28:09.562,0.59180,-0.69922,0.37720;
14:28:09.582,0.59229,-0.69775,0.37622;
